invoiceID, itemID, invoiceitemCompID, invoiceDate, driverID, itemDesc, itemCost, itemQuantity, itemTotal, invoiceSubtotal, invoiceHST, invoiceTotal
1001, 1001, 10011001, 2024-10-20, 1916, 1L Gasoline, 1.70, 20, 34.00, 83.98, 12.60, 96.58
1001, 1002, 10011002, 2024-10-20, 1916, 3.78L Windshield Washer Fluid, 4.99, 1, 4.99, 83.98, 12.60, 96.58
1001, 1003, 10011003, 2024-10-20, 1916, 5L Motor Oil, 44.99, 1, 44.99, 83.98, 12.60, 96.58
1002, 1001, 10021001, 2024-10-23, 1917, 1L Gasoline, 1.70, 30, 51.00, 100.98, 15.15, 116.13
1002, 1002, 10021002, 2024-10-23, 1917, 3.78L Windshield Washer Fluid, 4.99, 1, 4.99, 100.98, 15.15, 116.13
1002, 1003, 10021003, 2024-10-23, 1917, 5L Motor Oil, 44.99, 1, 44.99, 100.98, 15.15, 116.13
1003, 1001, 10031001, 2024-10-31, 1918, 1L Gasoline, 1.70, 10, 17.00, 67.00, 10.05, 77.05
1003, 1004, 10031004, 2024-10-31, 1918, Car Wash, 50.00, 1, 50.00, 67.00, 10.05, 77.05
1004, 1003, 10041003, 2024-11-04, 1919, 5L Motor Oil, 44.99, 1, 44.99, 44.99, 6.75, 51.74
1005, 1002, 10051002, 2024-11-09, 1920, 3.78L Windshield Washer Fluid, 4.99, 1, 4.99, 64.99, 9.75, 74.74
1005, 1005, 10051005, 2024-11-09, 1920, Tire Change, 15.00, 4, 60.00, 64.99, 9.75, 74.74
1006, 1001, 10061005, 2024-11-15, 1921, 1L Gasoline, 1.70, 20, 34.00, 143.99, 21.60, 165.59
1006, 1003, 10061003, 2024-11-15, 1921, 5L Motor Oil, 44.99, 1, 44.99, 143.99, 21.60, 165.59
1006, 1005, 10061003, 2024-11-15, 1921, Tire Change, 15.00, 4, 60.00, 143.99, 21.60, 165.59
